Id;Pr;N;P;S;K;Mg;Ca;Fe;Mn;Cu;Zn;B
211;20.35;3.71;0.2;0.1;3.26;0.35;1.04;706;620;12;22;31
212;14.65;3.64;0.19;0.11;2.86;0.29;0.62;122;517;9;22;37
213;31.65;3.26;0.19;0.13;3.12;0.41;0.68;126;775;9;22;39
214;19.82;2.46;0.16;0.04;2.18;0.3;0.83;213;2620;9;19;21
221;18.4;2.87;0.16;0.13;3.2;0.42;0.79;122;961;12;21;30
222;16.75;2.27;0.18;0.11;2.43;0.35;0.96;129;522;8;20;29
223;10.2;2.64;0.16;0.1;3.21;0.35;0.63;127;1060;37;20;25
224;14.21;2.78;0.18;0.12;2.9;0.4;0.63;108;814;9;24;29
231;14.33;2.51;0.17;0.1;2.38;0.45;0.85;109;1450;8;21;17
232;19.5;3.03;0.17;0.1;2.52;0.44;1.03;86;2020;9;17;20
233;23.9;2.33;0.17;0.11;3.4;0.35;0.45;112;549;9;19;18
234;17.05;2.38;0.17;0.13;2.57;0.34;1;102;238;7;18;20
241;24;3.56;0.15;0.15;2.63;0.31;1.09;108;1440;8;19;31
242;19.8;3.18;0.17;0.09;2.51;0.28;0.77;120;1360;7;20;17
243;14.7;2.94;0.17;0.07;1.96;0.35;1.02;123;1530;7;19;12
244;23.4;3.09;0.15;0.06;2.82;0.3;1.15;163;1200;10;20;16
251;23.25;2.6;0.14;0.11;2.51;0.34;0.96;105;240;7;22;18
252;17.62;2.31;0.17;0.11;2.8;0.35;0.77;126;517;7;19;36
253;12;2.2;0.16;0.1;2.31;0.25;0.95;101;358;7;19;20
261;16.5;1.75;0.12;0.06;2.16;0.55;0.85;99;1400;26;16;12
262;15.5;2.71;0.09;0.08;2.98;0.32;0.73;104;949;9;20;26
271;29.66;3.87;0.17;0.11;3.01;0.25;0.76;115;750;9;23;22
272;24;2.62;0.18;0.1;2.52;0.32;0.74;111;642;35;18;11
273;13.4;3.38;0.16;0.09;1.68;0.24;0.79;76;646;7;15;21
274;16.66;2.63;0.16;0.09;2.18;0.29;0.69;81;1076;6;17;15
